ประทับเวลา,ที่อยู่อีเมล,รหัสหน่วยบริการ และ ชื่อ รพ.สต.,หมู่ที่,ตำบล,อำเภอ,ประชากรทั้งหมด (คน),ประชากร ชาย (คน),ประชากร หญิง (คน),อสม. (คน),จำนวนหมู่บ้าน,จำนวนหลังคาเรือน,จำนวนผู้สูงอายุ (คน),จำนวนวัด/สำนักสงฆ์,จำนวนโรงเรียนประถม,จำนวนโรงเรียนขยายโอกาส,จำนวนโรงเรียนมัธยม,ศพค. / สถานีสุขภาพ,คอลัมน์ 1
4/22/2026 15:29:40,annanongann@gmail.com,03741 - รพ.สต.บ้านสร้างแก้ว,8,โพธิ์​ไทร,พิบูล​มังสาหาร​,"7,950",4109,3841,167,12,2556,1540,11,3,1,0,โนนศิลาอ่อน,FALSE
4/22/2026 15:30:22,tabai34250@gmail.com,03548 - รพ.สต.บ้านตะบ่าย,2,ตะบ่าย,ศรีเมืองใหม่,"3,868","1,999","1,869",72,12,972,476,8,2,1,0,2,FALSE
4/22/2026 15:36:22,nonnoicenter@gmail.com,03722 - รพ.สต.บ้านโนนน้อย,1,บุ่งหวาย,วารินชำราบ,4292,2107,2185,127,9,1510,1050,9,2,1,0,สถานีสุขภาพบ้านโนนน้อย หมู่ 1,FALSE
4/22/2026 15:39:33,n_nut555@hotmail.com,03810 - รพ.สต.บ้านหนองบก,3,หนองบก,เหล่าเสือโก้ก,3498,1785,1713,79,7,1124,709,7,4,0,1,1,FALSE
4/22/2026 15:43:14,thipsuda.25558@gmail.com,14253 - รพ.สต.ตำบลเหล่าแดง,8,เหล่าแดง,ดอนมดแดง,1986,968,1018,63,6,947,564,8,2,0,0,0,FALSE
4/22/2026 15:46:57,bee29417@gmail.com,14250 - รพ.สต.บ้านสร้างถ่อ,5,โพนเมือง,เหล่าเสือโก้ก,1951,987,964,58,8,702,474,14,5,0,0,1,FALSE
4/22/2026 15:46:57,prajun_777@hotmail.com,03753 - รพ.สต.บ้านจิกเทิง,1,จิกเทิง,ตาลสุม,3604,1826,1778,88,9,1569,687,8,3,0,1,3/1,FALSE
4/22/2026 15:47:50,smm03543@gmail.com,03543 - รพ.สต.บ้านหนองขุ่น,2,วาริน,ศรีเมืองใหม่,3250,1626,1624,54,5,800,517,2,1,1,0,2,FALSE
4/22/2026 15:48:26,wannisaning06@gmail.com,03664 - รพ.สต.บ้านโคกน้อย,7,โคกจาน,ตระการพืชผล,4210,2112,2098,108,12,1642,1235,11,4,0,0,2,FALSE
4/22/2026 15:55:21,tsp.pond@gmail.com,03727 - รพ.สต.บ้านหนองกินเพล,3,หนองกินเพล,วารินชำราบ,2701,1411,1290,71,4,1010,579,4,2,1,0,4,FALSE
4/22/2026 15:58:01,phusnisa2561@gmail.com,03754 - รพ.สต.บ้านหนองกุงใหญ่,6,หนองกุง,ตาลสุม,"2,865","1,460","1,405",79,8,"1,236",713,6 / 2,2,1,0,3 / 8,FALSE
4/22/2026 16:03:50,Smm03551@gmail.com,03551 - รพ.สต.บ้านหนามแท่ง,11,ตำบลหนามแท่ง,ศรีเมืองใหม่,4433,1327,1324,69,5,1043,550,5,3,0,0,2,FALSE
4/22/2026 16:36:12,rumpai.wanakun@gmail.com,03811 - รพ.สต.บ้านดูน,4,หนองบก,เหล่าเสือโก้ก,2697,1357,1340,55,6,753,563,7,3,0,0,3,FALSE
4/22/2026 16:42:18,joyjung34000@gmail.com,03807 - รพ.สต.ตำบลเหล่าเสือโก้ก,9,เหล่าเสือโก้ก,เหล่าเสือโก้ก,4502,2220,2282,92,9,1407,1151,9,4,1,0,2/1,FALSE
4/22/2026 16:55:01,tanawat565@gmail.com,03633 - รพ.สต.บ้านตบหู,1,โนนสวรรค์,นาจะหลวย,4275,2099,2176,142,10,1726,828,14,2,1,1,2,FALSE
4/22/2026 19:59:01,pornchanokmeewong@gmail.com,03781 - รพ.สต.บ้านท่าเมือง,5,ท่าเมือง,ดอนมดแดง,5011,2523,2488,111,10,1617,1093,14,3,1,0,2,FALSE
4/23/2026 9:13:10,Huaymark_03550@hotmail.com,03550 - รพ.สต.บ้านห้วยหมาก,18,คำไหล,ศรีเมืองใหม่,4750,2444,2306,116,11,1731,1192,15,2,2,0,14,FALSE
4/23/2026 9:30:08,ub03683@gmail.com,03683 - รพ.สต.บ้านแดง,1,บ้านแดง,ตระการพืชผล,2054,1045,1009,53,9,737,557,8,3,0,1,1,FALSE
4/23/2026 9:38:00,panapazz.191@gmail.com,03800 - รพ.สต.บ้านนาเรือง,7,นาเรือง,นาเยีย,6793,3414,3379,131,8,1436,1162,7,3,1,0,8,FALSE
4/23/2026 9:38:38,boontrarik210@gmail.com,03646 - รพ.สต.บ้านบก,8,ห้วยข่า,บุณฑริก,3116,1528,1588,85,6,1224,449,13,2,2,0,1,FALSE
4/23/2026 10:15:22,oil_daksasuk@hotmail.com,03588 - รพ.สต.บ้านธาตุุกลาง,3,สหธาตุ,เขื่องใน,3432,1693,1739,70,7,764,610,6,1,0,1,1,FALSE
4/23/2026 11:16:37,joy.kraingkrai@gmail.com,03576 - รพ.สต.ตำบลนาคำใหญ่,8,นาคำใหญ่,เขื่องใน,2314,1085,1229,75,8,862,774,4,3,0,0,2,FALSE
4/23/2026 11:37:34,on.na121212@gmail.com,03808 - รพสต.บ้านโพนเมือง,1,โพนเมือง,เหล่าเสือโก้ก,3695,1959,1736,74,9,1039,811,10,3,1,0,2,FALSE
4/23/2026 11:52:38,sorasinglex@gmail.com,03655 - รพ.สต.บ้านโนนบาก,14,บัวงาม,บุณฑริก,2099,1011,1088,68,6,739,543,2,0,1,0,1,FALSE
4/23/2026 11:58:04,Phithak61989@gmail.com,13872 - รพ.สต.บ้านเวินบึก,8,โขงเจียม,โขงเจียม,963,496,467,25,2,267,135,4,2,0,0,1,FALSE
